run_id,working_set_size,overhead_percent_overhead_single_stepping,overhead_percent_overhead_tlb_flushing,overhead_percent_overhead_syscalls,overhead_percent_overhead_io,overhead_percent_overhead_locking,overhead_percent_misc
1,2,60.35,12.46,0,11.670000000000002,0.43,9.879999999999999
2,2,60.18000000000001,13.37,0,11.57,0.43,10.34
3,2,59.57,12.78,0,11.23,0.47,10.559999999999997
4,2,60.949999999999996,11.43,0,12.12,0,10.42
5,2,61.57,11.67,0,11.31,0,10.97
6,2,60.9,11.02,0,12.01,0,11.309999999999999
7,2,61.79999999999998,11.88,0,11.54,0.36,9.55
8,2,62.239999999999995,13.12,0,9.9,0.36,9.95
9,2,62.95999999999999,11.88,0,10.82,0.43,8.59
10,2,60.69,12.37,0,11.79,0.43,9.150000000000002
1,4,60.61,12.3,0,11.969999999999999,0,10.110000000000001
2,4,62.08,11.54,0,11.83,0,9.73
3,4,61.769999999999996,12.06,0,11.09,0,10.239999999999998
4,4,61.449999999999996,11.58,0,11.649999999999999,0,10.069999999999999
5,4,61.24999999999999,11.71,0,11.75,0.36,9.889999999999999
6,4,61.11000000000001,12.24,0,11.0,0.36,10.3
7,4,62.48000000000001,11.72,0,10.61,0.45,9.790000000000001
8,4,59.519999999999996,12.64,0,12.030000000000001,0.39,10.19
9,4,60.54,11.99,0,11.190000000000001,0.45,10.62
10,4,61.41000000000001,12.12,0,11.29,0.45,9.85
1,8,60.96,11.75,0,11.36,0.43,9.9
2,8,60.5,12.29,0,11.97,0.43,9.629999999999999
3,8,61.419999999999995,12.57,0,11.79,0.36,9.11
4,8,62.169999999999995,12.25,0,10.600000000000001,0.39,9.16
5,8,61.170000000000016,11.47,0,11.61,0,10.810000000000002
6,8,61.01000000000002,12.72,0,11.56,0,9.68
7,8,61.71,12.27,0,11.23,0,9.77
8,8,61.290000000000006,12.54,0,10.99,0,9.83
9,8,61.63,12.91,0,10.620000000000001,0.33,9.64
10,8,61.11000000000001,12.22,0,10.82,0.36,9.650000000000002
1,16,61.800000000000004,12.12,0,11.03,0,9.999999999999998
2,16,61.580000000000005,12.03,0,10.86,0,10.559999999999999
3,16,60.809999999999995,12.1,0,10.96,0.4,10.4
4,16,60.97,12.32,0,11.49,0.43,9.969999999999999
5,16,60.92,11.98,0,11.49,0.33,10.34
6,16,60.980000000000004,12.23,0,11.66,0,10.32
7,16,61.459999999999994,11.9,0,11.77,0,10.040000000000001
8,16,61.080000000000005,11.84,0,11.4,0,10.53
9,16,60.519999999999996,12.38,0,11.440000000000001,0.44,10.22
10,16,61.580000000000005,11.84,0,11.4,0,10.130000000000003
1,32,61.16000000000001,12.09,0,11.190000000000001,0,10.74
2,32,61.27,12.22,0,11.14,0,10.479999999999999
3,32,61.33,12.01,0,11.280000000000001,0,10.33
4,32,61.550000000000004,12.19,0,10.89,0,10.31
5,32,61.269999999999996,12.2,0,11.54,0,10.149999999999999
6,32,61.64999999999999,12.04,0,11.23,0,10.040000000000003
7,32,60.95,12.27,0,11.52,0,10.31
8,32,61.30000000000001,12.19,0,11.3,0,10.13
9,32,60.370000000000005,12.47,0,11.3,0,10.730000000000002
10,32,61.38,11.99,0,11.34,0.33,10.24
